,district,month,year,domestic_visitors,foreign_visitors
0,Adilabad,January,2016,792136,2
1,Adilabad,February,2016,937820,0
2,Adilabad,March,2016,582946,2
3,Adilabad,April,2016,341948,0
4,Adilabad,May,2016,252887,0
5,Adilabad,June,2016,368237,0
6,Adilabad,July,2016,447562,4
7,Adilabad,August,2016,614285,2
8,Adilabad,September,2016,491279,0
9,Adilabad,October,2016,94184,0
10,Adilabad,November,2016,99148,0
11,Adilabad,December,2016,53125,0
12,Bhadradri Kothagudem,January,2016,0,0
13,Bhadradri Kothagudem,February,2016,0,0
14,Bhadradri Kothagudem,March,2016,0,0
15,Bhadradri Kothagudem,April,2016,0,0
16,Bhadradri Kothagudem,May,2016,0,0
17,Bhadradri Kothagudem,June,2016,0,0
18,Bhadradri Kothagudem,July,2016,0,0
19,Bhadradri Kothagudem,August,2016,0,0
20,Bhadradri Kothagudem,September,2016,0,0
21,Bhadradri Kothagudem,October,2016,310133,0
22,Bhadradri Kothagudem,November,2016,252127,0
23,Bhadradri Kothagudem,December,2016,326770,0
24,Hyderabad,January,2016,1122510,15865
25,Hyderabad,February,2016,778748,29646
26,Hyderabad,March,2016,1017794,13019
27,Hyderabad,April,2016,1127738,8402
28,Hyderabad,May,2016,1287181,8522
29,Hyderabad,June,2016,12032661,10284
30,Hyderabad,July,2016,1096754,17142
31,Hyderabad,August,2016,1061137,12842
32,Hyderabad,September,2016,832987,9397
33,Hyderabad,October,2016,901960,12808
34,Hyderabad,November,2016,909733,8084
35,Hyderabad,December,2016,1225502,17620
36,Jagtial,January,2016,0,0
37,Jagtial,February,2016,0,0
38,Jagtial,March,2016,0,0
39,Jagtial,April,2016,0,0
40,Jagtial,May,2016,0,0
41,Jagtial,June,2016,0,0
42,Jagtial,July,2016,0,0
43,Jagtial,August,2016,0,0
44,Jagtial,September,2016,0,0
45,Jagtial,October,2016,201249,0
46,Jagtial,November,2016,214534,0
47,Jagtial,December,2016,207294,0
48,Jangaon,January,2016,0,0
49,Jangaon,February,2016,0,0
50,Jangaon,March,2016,0,0
51,Jangaon,April,2016,0,0
52,Jangaon,May,2016,0,0
53,Jangaon,June,2016,0,0
54,Jangaon,July,2016,0,0
55,Jangaon,August,2016,0,0
56,Jangaon,September,2016,0,0
57,Jangaon,October,2016,14770,0
58,Jangaon,November,2016,13210,2
59,Jangaon,December,2016,12680,0
